task_id,status,num_train_cases,input_shapes,output_shapes,shape_relation,color_relation,changed_cells_total,top_failure_reason,reason_family
task314,failed,3,8x8,8x8,same_size,same_color_set,7,input_output_not_identical,other
task315,failed,3,3x3,9x9,integer_scale_or_tile,same_color_set,0,output_size_differs_from_input_size,shape
task316,failed,3,10x10,3x3,shrinks_or_crop,same_color_set,0,output_size_differs_from_input_size,shape
task317,failed,2,9x9,9x9,same_size,changed_color_set,63,input_output_not_identical,other
task319,failed,4,15x17 17x17 18x18 19x17,3x5 5x3 5x5,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task320,failed,3,7x9 8x9 9x9,7x9 8x9 9x9,variable_shapes,output_superset_colors,27,input_output_not_identical,other
task321,failed,5,4x14,4x4,shrinks_or_crop,output_subset_colors,0,output_size_differs_from_input_size,shape
task322,failed,3,3x3,3x3,same_size,same_color_set,10,input_output_not_identical,other
task323,failed,2,13x13,13x13,same_size,output_superset_colors,37,input_output_not_identical,other
task324,failed,3,12x14 15x15 19x12,12x14 15x15 19x12,variable_shapes,same_color_set,90,input_output_not_identical,other
task325,failed,3,8x12 12x12 16x10,2x2 3x3 4x4,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task327,failed,3,3x3,6x6,integer_scale_or_tile,same_color_set,0,output_size_differs_from_input_size,shape
task328,failed,4,7x7 10x10 12x12 13x13,7x7 10x10 12x12 13x13,variable_shapes,same_color_set,207,input_output_not_identical,other
task329,failed,3,3x3 5x5,3x3 5x5,variable_shapes,output_subset_colors,20,input_output_not_identical,other
task330,failed,3,10x10,10x10,same_size,changed_color_set,79,input_output_not_identical,other
task331,failed,2,10x10,10x10,same_size,output_superset_colors,37,input_output_not_identical,other
task332,failed,4,3x10 3x12 3x13 3x14,3x10 3x12 3x13 3x14,variable_shapes,output_superset_colors,25,input_output_not_identical,other
task333,failed,3,10x10,10x10,same_size,same_color_set,20,input_output_not_identical,other
task334,failed,7,5x5,3x3,shrinks_or_crop,changed_color_set,0,output_size_differs_from_input_size,shape
task335,failed,3,8x11 10x12 12x11,8x11 10x12 12x11,variable_shapes,output_superset_colors,37,input_output_not_identical,other
task336,failed,2,10x10,10x10,same_size,output_superset_colors,37,input_output_not_identical,other
task338,failed,3,10x10 15x15,10x10 15x15,variable_shapes,changed_color_set,70,input_output_not_identical,other
task339,failed,4,3x3,1x1 1x2 1x3 1x4,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task340,failed,3,10x15 12x12 14x11,10x15 12x12 14x11,variable_shapes,same_color_set,36,input_output_not_identical,other
task341,failed,3,10x10,10x10,same_size,output_superset_colors,35,input_output_not_identical,other
task342,failed,3,10x10,10x10,same_size,output_subset_colors,24,input_output_not_identical,other
task343,failed,3,5x15,5x15,same_size,same_color_set,36,input_output_not_identical,other
task344,failed,3,3x3 7x6 7x7,3x3 7x6 7x7,variable_shapes,output_superset_colors,12,input_output_not_identical,other
task345,failed,2,10x10,10x10,same_size,same_color_set,56,input_output_not_identical,other
task347,failed,5,3x6,3x3,shrinks_or_crop,changed_color_set,0,output_size_differs_from_input_size,shape
task348,failed,2,5x7 7x8,5x7 7x8,variable_shapes,output_superset_colors,29,input_output_not_identical,other
task349,failed,4,10x10 15x15 20x20,10x10 15x15 20x20,variable_shapes,output_superset_colors,575,input_output_not_identical,other
task350,failed,4,8x9 10x9 10x11 12x12,8x9 10x9 10x11 12x12,variable_shapes,output_superset_colors,67,input_output_not_identical,other
task351,failed,3,16x16,5x5,shrinks_or_crop,output_subset_colors,0,output_size_differs_from_input_size,shape
task353,failed,7,3x3 5x3 5x5 7x7 10x10 11x11,3x3 5x3 5x5 7x7 10x10 11x11,variable_shapes,same_color_set,14,input_output_not_identical,other
task354,failed,3,10x10,10x10,same_size,output_subset_colors,92,input_output_not_identical,other
task356,failed,3,10x10,10x10,same_size,same_color_set,29,input_output_not_identical,other
task357,failed,3,10x2 10x3 10x4,10x2 10x3 10x4,variable_shapes,changed_color_set,87,input_output_not_identical,other
task358,failed,2,12x11 15x14,12x11 15x14,variable_shapes,same_color_set,38,input_output_not_identical,other
task359,failed,3,13x14 13x17 15x14,13x14 13x17 15x14,variable_shapes,output_subset_colors,100,input_output_not_identical,other
task360,failed,3,10x9,10x4,shrinks_or_crop,output_subset_colors,0,output_size_differs_from_input_size,shape
task361,failed,3,10x10,10x10,same_size,same_color_set,15,input_output_not_identical,other
task362,failed,4,10x10,10x10,same_size,output_subset_colors,145,input_output_not_identical,other
task363,failed,3,10x10,10x10,same_size,same_color_set,32,input_output_not_identical,other
task364,failed,3,10x11 14x12 19x21,10x11 14x12 19x21,variable_shapes,changed_color_set,106,input_output_not_identical,other
task365,failed,3,10x10,3x3 5x4 6x4,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task366,failed,3,10x16 11x20 30x17,10x8 11x10 15x17,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task367,failed,3,12x19 13x16 15x17,12x19 13x16 15x17,variable_shapes,output_superset_colors,49,input_output_not_identical,other
task368,failed,2,10x10,10x10,same_size,output_subset_colors,42,input_output_not_identical,other
task369,failed,3,10x10,10x10,same_size,changed_color_set,78,input_output_not_identical,other
task370,failed,3,12x14 12x16 13x15,12x14 12x16 13x15,variable_shapes,same_color_set,40,input_output_not_identical,other
task371,failed,2,10x10,10x10,same_size,output_superset_colors,10,input_output_not_identical,other
task372,failed,3,11x11,5x11,shrinks_or_crop,output_subset_colors,0,output_size_differs_from_input_size,shape
task373,failed,2,2x6,2x6,same_size,same_color_set,12,input_output_not_identical,other
task374,failed,4,10x10,10x10,same_size,changed_color_set,56,input_output_not_identical,other
task375,failed,3,3x3 5x5 7x7,3x3 5x5 7x7,variable_shapes,same_color_set,24,input_output_not_identical,other
task376,failed,2,3x17 4x17,9x17 13x17,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task377,failed,3,21x22 22x25 23x27,3x3 5x5 7x7,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task378,failed,4,6x6 8x8 9x9 12x12,6x6 8x8 9x9 12x12,variable_shapes,same_color_set,13,input_output_not_identical,other
task379,failed,3,13x13 13x18 17x12,13x13 13x18 17x12,variable_shapes,same_color_set,65,input_output_not_identical,other
task381,failed,3,10x10,10x10,same_size,output_superset_colors,33,input_output_not_identical,other
task382,failed,3,12x12 14x10 17x12,12x12 14x10 17x12,variable_shapes,same_color_set,120,input_output_not_identical,other
task383,failed,3,15x17 16x18 19x13,15x17 16x18 19x13,variable_shapes,same_color_set,103,input_output_not_identical,other
task384,failed,3,9x9,6x6 6x8 8x6,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task387,failed,4,14x14 17x14 17x16,14x14 17x14 17x16,variable_shapes,output_superset_colors,176,input_output_not_identical,other
task388,failed,3,2x2 3x3 6x6,4x4 6x6 12x12,variable_shapes,output_superset_colors,0,output_size_differs_from_input_size,shape
task389,failed,3,3x3 5x5,3x3 5x5,variable_shapes,changed_color_set,59,input_output_not_identical,other
task390,failed,3,15x15,15x15,same_size,same_color_set,42,input_output_not_identical,other
task391,failed,4,13x10 13x13 13x16,3x1,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task392,failed,3,10x10,10x10,same_size,changed_color_set,245,input_output_not_identical,other
task393,failed,3,12x12,3x1,shrinks_or_crop,output_subset_colors,0,output_size_differs_from_input_size,shape
task394,failed,3,4x4 5x5 7x7,1x1 2x2,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task395,failed,5,6x3,3x3,shrinks_or_crop,changed_color_set,0,output_size_differs_from_input_size,shape
task396,failed,3,13x13 13x16 15x16,6x7 7x7,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task397,failed,3,10x10,10x10,same_size,output_superset_colors,36,input_output_not_identical,other
task398,failed,5,1x5,5x5 10x10 15x15,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task399,failed,8,3x3 5x5 6x6 7x7,3x3,variable_shapes,changed_color_set,5,output_size_differs_from_input_size,shape
task400,failed,3,24x24,5x5,shrinks_or_crop,output_subset_colors,0,output_size_differs_from_input_size,shape
